"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bahrain","BHR","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7717630012.70826","8237554437.84974","8434053481.24348","8897355078.79591","9078448737.50228","9442185363.05246","9616847931.377","10190238103.3747","12343484092.1255","13716054172.9808","15293074463.5202","16724021305.7051","17514606939.2344","18958708284.473","19183153338.7987","19619707446.8085","19522188730.8368","20309968070.3813","20614392503.2737","20593228369.4717","19832254983.9278","",
"Bahamas, The","BHS","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6550037434.01816","6412970649.19073","6238251045.57576","5924700137.12761","5882831104.91999","6130074831.46078","6422762887.0123","6837353360.6752","7691857894.10842","7670563384.41008","8177773232.35043","8383725006.84795","8475057588.81853","8707776908.00333","8496729549.20576","8341660224.51918","8953654577.59257","9201880829.24603","9295509569.57403","9109394925.72606","8398152010.95673","8464415576.34004","8424699376.07548","8616045905.86115","8406141383.87161","8705900139.30022","8956800000","9058082601.51943","9797256867.26679","9868448261.08842","9691046437.30905","7793308251.48958","9340541533.70714",
"Bosnia and Herzegovina","BIH","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12014726194.8449","12372418958.7761","12934404029.4806","13527044174.5992","13886520146.582","14473615471.7892","14990230442.6658","15742663157.3609","16478963271.9226","15958189770.5153","16027783613.128","15976704726.7022","15937399087.2628","15936675022.9793","16228184834.0037","16434956110.0085","16719656745.7866","16915208514.0507","17213450524.8831","17549127131.8263","17150544036.008","17887533778.4729",
"Belarus","BLR","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14316053684.3503","13377584920.8228","12064042869.2475","11282848681.9427","10038101293.0843","9126687275.27984","9434283990.53751","10359391697.8426","11547717753.2222","12497568407.878","13407658572.596","15249357245.1021","16504187325.5187","17445982509.1481","18751351789.0223","20998131969.1119","23215074772.4227","25832873421.107","29494095044.4538","29491347065.1233","31855297666.7171","32208123833.9541","34915302613.3324","37830464512.1441","39040204125.8721","38275806856.7123","37337197710.7644","38634126945.1296","40281079064.3538","41737389280.7057","40504988661.0692","40703782524.2325",
"Belize","BLZ","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","405452593.352496","334651905.280186","369102254.806968","344567135.803222","305152317.08011","292862760.834833","279393349.61075","321213384.599177","365465777.008828","402078762.434184","427548561.151079","465070143.884892","748456834.532374","773635791.366906","813625899.280576","838311151.079137","846704136.690647","868920863.309353","923722122.302158","989878597.122302","1068871402.8777","1166625000","1255985611.51079","1305356115.10791","1301406474.82014","1282645683.45324","1255985611.51079","1303875000","1319673561.15108","1302887589.92806","1346827338.1295","1377930755.39568","1441618705.03597","1531473021.58273","1578375000","1647000000","1679584532.3741","1685015287.76978","1729448741.00719","1792642985.61151","1522092625.89928","1734879496.40288",
"Bermuda","BMU","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4053939433.89032","4069755000","4359331098.34178","4118080476.06895","3955474281.16851","3923987389.57499","3593946929.27167","3707626450.83884",
"Bolivia","BOL","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","4363803909.23367","4699378290.77104","4754193229.54174","5031804948.85968","5094730271.84025","5547792597.70555","5940150494.22813","6279947238.64735","6507218699.41877","6910681064.77889","7354119517.64625","7662803981.39958","7832678190.11711","8517605786.10907","8856376666.48549","9308541839.66925","10011390947.8899","10496900994.694","10290314840.5984","10617789738.2303","10661887722.3183","10857841867.9928","10445489683.3037","9822869743.72287","9888706842.91729","10072909703.9244","10248949041.5229","10466370950.265","10599967316.5959","10775954353.7485","11088856340.3783","11457637939.4884","11867098866.0417","12249183925.0662","12611741196.3856","13044808348.4426","13459099161.7584","14152064912.433","14868127711.8495","15287606796.5263","15635167661.6215","15866462340.0365","16220826273.3872","16563461072.0866","17050871256.5302","17619179289.3097","18317170284.0307","19070893203.3843","20075730936.0502","20817103888.1064","21619675041.4822","22803503720.1033","23862387762.479","25385942595.9076","26807982135.5785","28352112490.7033","29239703372.4412","30631666182.9079","31986495072.6028","33166096692.8149","30805440514.9694","32450522480.0192",
"Brazil","BRA","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","158379671512.667","172446317856.074","181339030077.834","183961147479.374","187142564270.308","185309841418.743","193382976801.416","210789240591.393","232276980368.304","229490717582.576","290746714056.821","326705163982.197","362198762102.611","405902166693.017","445342226544.274","449705708271.191","506256511969.886","530851817689.828","555754420321.582","604022959777.8","631479085285.718","595517288093.775","620463477648.14","607900758767.855","624422131895.448","642133909933.416","721082435807.696","733544016024.504","724005576218.736","751630739845.678","744561366526.848","748287181813.869","748987018802.466","779448230201.238","825224617203.497","883105905035.564","900633771386.915","924206957485.749","925940489786.839","932333729317.478","960794976901.299","972195815171.74","990645590688.792","990382649114.233","1029129449684.65","1068812157321.83","1120911807972.23","1186189120771.01","1250268896380.26","1301455371378.21","1375292729543.24","1432932380527.73","1478934591070.25","1523546842348.1","1552699403466.46","1509203462532.69","1465720941267.74","1485363959530.22","1514920347529.91","1543247936414.65","1462632488851.58","1509306342982.91",
"Barbados","BRB","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4272840250","","","","","","",
"Brunei Darussalam","BRN","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2525283540.49738","2614388934.30574","2589742777.29096","2952483694.06217","3277307451.88613","3175563005.09535","3131326356.64757","3336711023.09792","3590124105.67773","3332919329.39761","3312696815.03318","3311254104.13703","3536405041.77982","3511972986.87947","3734611072.96086","4049461178.96987","4017747506.7189","4332795069.03178","4701476394.71115","4723973910.49948","4960766632.11899","5097278702.53725","5368499399.26752","5568659056.75669","5826459457.12916","5797026852.77529","5798930467.67038","5553092708.52074","5898617122.36965","6007674110.72798","6225078014.15705","6046818546.79212","6771195891.00303",
