"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Bermuda","BMU","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2914414","2993924","3060379","3141994","3228536","3315667","3402390","3493482","3567355","3642938","3720613","3826824","3936217","4050481","4168934","4291420","4417572","4470360","4570941","4696931","4799179","4902372","4776939","4929363","5186538","4978794","5103906","5306478","5663066","5684739","5277798","6322445",
"Brazil","BRA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59779935","61213691","63110657","65062600","67070700","69127314","68914390","71474305","73342473","75636214","77972521","80317474","82888849","84460054","87009759","89469663","90512920","91618386","92876048","94641957","94433750","94153068","95207555","96414132","97479808","98977463","100006946","101746434","102779258","104559401","96675660","99470102",
"Barbados","BRB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","132198","128857","131634","133816","135914","137944","136149","138182","138898","139642","142025","144594","143335","145813","147648","148408","145822","146641","147080","146320","146204","149131","146825","148815","143345","144417","148685","147106","146039","143823","137621","139147",
"Brunei Darussalam","BRN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109777","113252","116511","119656","123102","126879","131035","135597","140530","145734","151128","156664","161368","166039","170625","175084","179379","183516","187518","191393","195182","198598","200259","201720","203072","204352","205465","206363","218003","217445","218013","219828",
"Bhutan","BTN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","229430","233069","224189","214169","214784","218042","223589","229298","235813","244225","254144","264677","275819","287518","299693","310672","318599","325497","332331","338969","338303","341134","331852","342591","334024","342466","347277","352365","357686","362856","351428","360953",
"Botswana","BWA","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","432884","448156","464628","482238","499987","517677","535799","553669","571034","587962","604481","625334","645728","665680","685506","705453","725796","758244","792136","827046","805850","826092","845175","864322","884419","905835","929020","953617","978417","1002866","1033295","1050378",
"Central African Republic","CAF","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1096840","1126843","1159803","1195411","1232552","1265557","1298799","1336479","1375415","1416275","1458979","1494791","1531085","1570631","1604733","1641653","1673558","1701672","1735314","1771023","1804053","1823222","1821923","1813461","1786158","1777612","1809432","1843862","1880043","1925458","1961858","2014514",
"Canada","CAN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14743717","14803644","14782202","14871262","15013490","15119721","15278818","15520772","15760787","16041716","16308540","16585665","17068694","17463546","17673741","17819057","18035497","18382598","18662574","18787384","18985431","19146806","19316264","19522292","19586757","19690128","19877599","20144986","20344109","20758436","20487246","21017306",
"Central Europe and the Baltics","CEB","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52570214","52978450","53075367","52687299","52245312","51794604","51161284","51244088","51126770","51105402","51006888","50714529","49335704","48814451","48799956","48694011","48780299","48774522","48881486","48970854","49014239","48768735","49035658","49078875","49363617","49306914","49117807","49480252","49392703","49348388","49027199","48739482",
"Switzerland","CHE","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3801365","3852643","3880814","3904542","3881031","3887534","3938957","3936594","3985247","4000545","3998850","4063211","4103899","4152300","4156364","4176951","4239193","4307894","4410392","4477719","4447671","4532128","4590579","4648458","4733088","4805361","4887055","4920491","4956328","4971006","4979813","4963476",
"Channel Islands","CHI","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68015","68471","68353","68092","67970","68161","68418","68686","69152","69662","69957","71361","72349","73407","73907","74624","75128","75822","77272","78367","78595","79012","79559","80263","80985","81874","82953","83908","85033","86124","86105","86796",
"Chile","CHL","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4913797","5074375","5274576","5430861","5572442","5759734","5926506","6031946","6153951","6252432","6281817","6292422","6348066","6524560","6686711","6849194","7114930","7297901","7574753","7672069","7830769","8122252","8201171","8317531","8463301","8558963","8655194","8864807","9053183","9208103","8685869","8684417",
"China","CHN","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","639133931","647240834","655427845","663270319","671847528","681134982","691090292","702212311","712827243","722366791","731993932","739359587","747567993","755273050","762251082","769371829","774287018","776045119","776378197","775599059","774058122","780630108","783473778","785834240","789134205","792313225","794235571","794624153","794480608","795572880","789480186","791382586",
"Cote d'Ivoire","CIV","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4129899","4309704","4499269","4696268","4898328","5104356","5318813","5532320","5730464","5851827","5939907","6013048","6095081","6197417","6309102","6425895","6544848","6665733","6787904","6910981","7036747","7134324","7209978","7297817","7424967","7590239","7759363","7931431","8171885","8420165","8600477","8875905",
"Cameroon","CMR","Labor force, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5103219","5254227","5408827","5570624","5737953","5909866","6090031","6277658","6469524","6662851","6859642","7066438","7285226","7511031","7739101","7968987","8204048","8450664","8499167","8521626","8515123","8767157","9024556","9291508","9604198","9943061","10263193","10566510","10875096","11205089","11439994","11809503",
